region,max_distance_miles,mcfarthest_lat,mcfarthest_lon,nearest_lat,nearest_lon
US,181.3844365968979,42.13918788831718,-119.13594742686534,39.556141,-119.75538300000002
Alabama,48.461237064634545,31.958827252162724,-88.46538032203266,37.2041302,-93.2614426
Arizona,148.39081715602885,36.9991060033173,-109.49267542919175,33.224509000000005,-117.33347999999998
Arkansas,53.34603484596114,35.477786191357396,-93.22299596411807,33.0357332,-80.06374259999998
California,134.01810941787366,41.48689380655545,-119.99948725435682,34.034294700000004,-117.07120940000001
Colorado,129.51203300783976,37.609013881022676,-102.78413058926292,32.767926,-117.16601100000001
Connecticut,23.38327432754514,41.614150775021166,-73.52158913945559,41.623476999999994,-79.67287740000002
Delaware,45.32509440312387,39.02334856427292,-75.57099572361817,42.2748667,-71.75320970000001
District of Columbia,4.6425311671322484,38.8017862031494,-77.02585888565464,34.0997975,-118.11773590000001
Florida,116.17402248570362,24.547716,-82.15865300000002,42.451818700000004,-84.44016949999998
Georgia,55.686562109799176,33.29473520524983,-82.98350565764602,32.67064499999999,-117.09613399999999
Idaho,144.58866551659972,45.533860254036746,-115.059331289574,39.32770689999999,-74.59816479999998
Illinois,46.25991419757423,37.87376083372142,-89.93409155587582,45.15667199999999,-93.23424009999998
Indiana,42.046734604228746,38.924956859333555,-85.30329499266138,33.0357332,-80.06374259999998
Iowa,58.622049892541355,40.74591552274022,-93.27040359370868,39.3727767,-76.5669948
Kansas,106.90102661870583,39.2264250565274,-102.04789530431847,41.396563699999994,-89.46765049999999
Kentucky,56.91865484564035,38.70198261611752,-83.51425254725137,33.289624100000005,-117.2265219
Louisiana,85.82235514655666,29.107648489430602,-89.050749395935,33.0672648,-117.2639405
Maine,141.33178821123127,46.647772512671914,-70.00752062431442,34.8848395,-92.106706
Maryland,45.54459915265731,38.97842514497601,-75.87083122241754,33.393263399999995,-111.97778579999999
Massachusetts,59.36531736896313,41.252466,-69.965725,41.925605600000004,-87.64928159999998
Michigan,99.010051185372,46.68444655019252,-85.81478400404221,39.38002639999999,-104.8663561
Minnesota,141.42804036866548,47.96836385787353,-90.4491375408208,32.892938,-117.20321100000001
Mississippi,59.5561083387255,32.655712291369404,-91.01228188191861,38.051863899999994,-85.53842069999999
Missouri,75.76013522133216,39.971973835185786,-92.90899327917947,41.69971909999999,-93.0445835
Montana,152.72801382490513,48.165276736510414,-111.9232078540822,47.4820899,-92.8944112
Nebraska,130.74737772671224,42.997942869930604,-101.09637999716139,41.5185582,-73.89022199999998
Nevada,173.11458324621245,41.97314147840109,-119.07205244196726,32.958834499999995,-117.03822379999998
New Hampshire,63.26453474095563,45.305476,-71.08556399999999,42.2748667,-71.75320970000001
New Jersey,33.69302150354817,38.929136,-74.920414,41.8260737,-72.89836939999999
New Mexico,131.3502927016956,36.80395380006934,-109.0454326228646,47.4820899,-92.8944112
New York,54.828818634875326,45.00332199999999,-74.70201799999998,40.25047360000001,-76.914463
North Carolina,98.63409979936196,35.47723164811862,-75.47177269553794,33.190438699999994,-117.36115709999997
North Dakota,162.00729297744334,48.99934902733297,-99.40103458681945,42.90378739999999,-87.8651709
Ohio,57.78313090116648,38.71905175810281,-83.48825380017509,41.5185582,-73.89022199999998
Oklahoma,97.85640090568025,37.000104,-103.002199,27.981124499999996,-82.4549159
Oregon,181.3844365968979,42.13918788831718,-119.13594742686534,34.8848395,-92.106706
Pennsylvania,48.266503529187524,41.75946876769272,-75.8634283095488,28.511430100000002,-81.4596807
Rhode Island,28.209081655379297,41.47527468489039,-71.16008204332786,40.248767099999995,-77.02990940000001
South Carolina,41.58958446014764,34.79787822001225,-80.32117975234569,32.9153468,-117.13025900000002
South Dakota,172.96311209448757,44.293045608182894,-100.70199539868425,41.225313899999996,-85.31679869999999
Tennessee,45.59207222765279,35.016215369458045,-88.84522293281506,27.962094499999996,-82.4023134
Texas,125.34829381817384,34.19380056758583,-100.27756968212131,41.2299313,-112.00684019999998
Utah,164.66483806774056,37.301907093317176,-110.17183791531315,33.22073809999999,-117.24525570000002
Vermont,40.90654065994417,42.767209076583065,-72.62465657396083,47.4820899,-92.8944112
Virginia,53.18466744442476,38.14815466000508,-79.80139255767824,41.15303,-74.1897895
Washington,100.21796002372896,46.22480991530327,-116.95667363298422,41.0943362,-73.93711590000001
West Virginia,54.119864663783524,38.158145856998246,-80.06033788393225,32.797622,-117.249498
Wisconsin,81.13843300420616,47.080006,-90.73086499999998,32.7894357,-117.09811299999998
Wyoming,131.41272469388502,44.64706165659523,-105.03716329831275,37.872303,-122.26862899999998
